,type,date,time,duration,distance,origin,destination,total_earning,base_fare,customer_fare,paid_to_driver,paid_to_uber,datetime,duration_dt,distance_km,origin_lat_lng,destination_lat_lng
2491,Black,2024-08-29,06:57:00,19 min 21 sec,5.68 km,"Rua Manoel da Nóbrega, Vila Mariana - São Paulo - SP, 04001-001, BR","Av. Pres. Juscelino Kubitschek, Vila Olímpia - São Paulo - SP, 04543-011, BR",26.28,25.03,28.83,-26.28,1.68,2024-08-29 06:57:00,0 days 00:19:21,5.68,"[-23.5787477, -46.6595095]","[-23.589988, -46.6797924]"
2492,Black,2024-08-29,05:57:00,42 min 25 sec,14.91 km,"Rua Brasil, Rudge Ramos - São Bernardo do Campo - SP, 09627-000, BR","Rua Treze de Maio, Bela Vista - São Paulo - SP, 01327-001, BR",57.86,57.86,85.08,-57.86,27.22,2024-08-29 05:57:00,0 days 00:42:25,14.91,"[-23.6593312, -46.5654896]","[-23.5677057, -46.6442053]"
2493,UberX,2024-08-27,17:48:00,31 min 42 sec,11.56 km,"R. Greenfeld, Ipiranga - São Paulo - SP, 04206-002, BR","Rua Tiete, Rudge Ramos - São Bernardo do Campo - SP, 09616-080, BR",28.09,27.72,36.38,-28.09,8.29,2024-08-27 17:48:00,0 days 00:31:42,11.56,"[-23.6013761, -46.602767]","[-23.6597141, -46.5607526]"
2494,Comfort,2024-08-27,16:58:00,46 min 29 sec,10.04 km,"Rua Mato Grosso, Consolação - Sao Paulo - SP, 01239-040, BR","Rua Arcipreste Andrade, Ipiranga - Sao Paulo - SP, 04268-020, BR",35.38,35.38,41.83,-38.38,6.45,2024-08-27 16:58:00,0 days 00:46:29,10.04,"[-23.5498362, -46.6577413]","[-23.5948982, -46.6100394]"
2495,Black,2024-08-27,16:38:00,12 min 25 sec,2.17 km,"Rua Oscar Freire, Jardim Paulista - São Paulo - SP, 05409-010, BR","R. Frei Caneca, Consolação - São Paulo - SP, 01307-003, BR",13.89,13.89,17.83,-13.89,3.94,2024-08-27 16:38:00,0 days 00:12:25,2.17,"[-23.5593884, -46.6726878]","[-23.5560378, -46.6564833]"
2496,Black,2024-08-27,16:23:00,8 min 51 sec,1.91 km,"R. Peixoto Gomide, Jardim Paulista - São Paulo - SP, 01409-000, BR","Rua Melo Alves, Jardim Paulista - São Paulo - SP, 01417-010, BR",12.48,12.48,17.21,-12.48,4.73,2024-08-27 16:23:00,0 days 00:08:51,1.91,"[-23.5603437, -46.6565379]","[-23.561085, -46.670554]"
2497,Black,2024-08-27,14:11:00,5 min 31 sec,1.37 km,"Tv. Casalbuono Loja 24, Vila Guilherme Complemento - São Paulo - SP, 02089-900, BR","Av. Zaki Narchi, Vila Guilherme - São Paulo - SP, 02049-000, BR",10.54,10.54,16.08,-10.54,5.54,2024-08-27 14:11:00,0 days 00:05:31,1.37,"[-23.5179508, -46.6175163]","[-23.5091349, -46.6168845]"
2498,Black,2024-08-27,13:05:00,37 min 4 sec,18.35 km,"Avenida Marquês de São Vicente, Barra Funda - São Paulo - SP, 01139, BR","Rua Francisco do Amaral, Penha - São Paulo - SP, 03611-000, BR",62.94,62.94,87.06,-62.94,24.12,2024-08-27 13:05:00,0 days 00:37:04,18.35,"[-23.5191501, -46.6751177]","[-23.5191176, -46.538029]"
2499,Black,2024-08-27,12:44:00,12 min 29 sec,4.29 km,"Av. Profª Ida Kolb, Casa Verde - São Paulo - SP, 02518-000, BR","R. Palestra Itália, Perdizes - São Paulo - SP, 05005-030, BR",18.94,18.94,30.42,-18.94,11.48,2024-08-27 12:44:00,0 days 00:12:29,4.29,"[-23.5100807, -46.6630211]","[-23.5293525, -46.6779759]"
2500,Black,2024-08-27,12:25:00,10 min 51 sec,3.89 km,"Av. Engenheiro Caetano Álvares, Casa Verde - São Paulo - SP, 02413-000, BR","Av. Braz Leme, Casa Verde - São Paulo - SP, 02511-000, BR",17.67,17.67,28.31,-17.67,10.64,2024-08-27 12:25:00,0 days 00:10:51,3.89,"[-23.4871325, -46.645932]","[-23.5062973, -46.6438294]"
